last_name_first_name,player_id,year,p_formatted_ip,pa,strikeout,k_percent,bb_percent,p_era,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent
"Miller, Bobby",676272,2023,124.1,505,119,23.6,6.3,3.76,6,37.6,26.8,48.2
"Suarez, Ranger",624133,2021,106,418,107,25.6,7.9,1.36,2.6,31.1,26.9,46.3
"Soriano, José",667755,2025,169,724,152,21,10.8,4.26,7.2,48.2,27,44.8
"Archer, Chris",502042,2022,102.2,437,84,19.2,11,4.56,8.7,44.5,24.2,44.6
"Bassitt, Chris",605135,2019,144,612,141,23,7.7,3.81,5.4,31.7,20.9,46.7
"Stanek, Ryne",592773,2019,77,327,89,27.2,11.9,3.97,10.4,38.2,34.6,48.1
"Anderson, Tyler",542881,2021,167,703,134,19.1,5.4,4.53,8.5,33,23.1,54.2
"Thompson, Zach",605507,2021,75,315,66,21,8.9,3.24,6.9,34.4,26.5,48.7
"Bundy, Dylan",605164,2021,90.2,397,84,21.2,8.6,6.06,10.3,38.5,23.3,44.7
"Hill, Rich",448179,2021,158.2,661,150,22.7,8.3,3.86,8.9,34.8,23.1,46.1
"Kopech, Michael",656629,2022,119.1,494,105,21.3,11.5,3.54,8.9,41.6,24.2,44.8
"Skenes, Paul",694973,2025,187.2,733,216,29.5,5.7,1.97,5.8,40.1,30.1,49.6
"Bradish, Kyle",680694,2023,168.2,671,168,25,6.6,2.83,6.9,42,26,45.8
"Webb, Logan",657277,2021,148.1,596,158,26.5,6,3.03,5.6,38.8,28.7,46.6
"Civale, Aaron",650644,2024,161,689,149,21.6,7.5,4.36,7.3,39.4,21.9,45.2
"Wacha, Michael",608379,2024,166.2,685,145,21.2,6.6,3.35,8.2,32.5,23.3,48.5
"Ashcraft, Graham",668933,2023,145.2,624,111,17.8,8.3,4.76,6.9,38.9,22.3,48.2
"Kelly, Merrill",518876,2019,183.1,777,158,20.3,7.3,4.42,10.2,40,22.4,47.2
"Lodolo, Nick",666157,2022,103.1,441,131,29.7,8.8,3.66,9.7,40.6,30.2,45.2
"Martinez, Nick",607259,2024,142.1,570,116,20.4,3.2,3.1,5.1,30.5,23.1,51.1
"Gant, John",607231,2021,110,491,92,18.7,14.5,4.09,5.6,38.5,24.6,43.3
"López, Reynaldo",625643,2019,184,809,169,20.9,8,5.38,8.3,38.3,24.7,48.7
"Walker, Taijuan",592836,2023,172.2,733,138,18.8,9.7,4.38,6.8,40.9,20.5,44.1
"Gallen, Zac",668678,2025,192,813,175,21.5,8.1,4.83,9.7,43,23.7,44.9
"Williams, Trevor",592866,2022,89.2,372,84,22.6,6.2,3.21,7.7,37.2,23.9,48.8
"Wood, Alex",622072,2022,130.2,555,131,23.6,5.4,5.1,7.1,39.8,25,48.1
"Burrows, Mike",681347,2025,96,402,97,24.1,7.7,3.94,10.8,42,27,48.7
"Fried, Max",608331,2022,185.1,733,170,23.2,4.4,2.48,4,32.1,26.1,49.7
"Taillon, Jameson",592791,2024,165.1,675,125,18.5,4.9,3.27,7.2,38.8,19.5,48.2
"Snell, Blake",605483,2022,128,535,171,32,9.5,3.38,7.4,39.5,32.8,47.9
"Rodriguez, Eduardo",593958,2021,157.2,675,185,27.4,7,4.74,6.8,33.6,26.3,48.7
"Anderson, Shaun",641312,2019,96,427,70,16.4,8.9,5.44,7.9,37.3,20.9,48.6
"Freeland, Kyle",607536,2021,120.2,515,105,20.4,7.4,4.33,8.2,35.3,21.6,46.2
"Chirinos, Yonny",630023,2019,133.1,530,114,21.5,5.3,3.85,9.7,33.8,22.4,49.6
"Morton, Charlie",450203,2024,165.1,701,167,23.8,9.3,4.19,9.3,38.4,26.1,46.6
"Crowe, Wil",640444,2022,76,332,68,20.5,11.4,4.38,4.9,32.7,27.5,45.4
"Bassitt, Chris",605135,2023,200,826,186,22.5,7.1,3.6,8.3,35.3,21.9,47.3
"Brault, Steven",643230,2019,113.1,505,100,19.8,10.5,5.16,6.8,38.7,23.3,45.3
"Morton, Charlie",450203,2019,194.2,790,240,30.4,7.2,3.05,5.3,32.8,29.6,47.4
"Bello, Brayan",678394,2024,162.1,702,153,21.8,9.1,4.49,7.4,41.1,25.9,46.3
"Mize, Casey",663554,2021,150.1,612,118,19.3,6.7,3.71,10,40,22.6,45.8
"Suarez, José",660761,2019,81,375,72,19.2,8.8,7.11,9.7,37.3,25.3,46
"Wilson, Bryse",669060,2024,104.2,442,82,18.6,7,4.04,9.2,44.3,20.8,48.3
"Bradley, Taj",671737,2023,104.2,460,129,28,8.5,5.59,10.7,46.4,25,50.7
"Gilbert, Logan",669302,2021,119.1,503,128,25.4,5.6,4.68,8.8,44.6,27.1,50.9
"Urquidy, José",664353,2021,107,423,90,21.3,4.5,3.62,9.3,35.9,24.9,52.9
"Cameron, Noah",702070,2025,138.1,556,114,20.5,7.7,2.99,6.3,37.4,26.6,47.2
"Rodríguez, Yariel",684320,2024,86.2,368,85,23.1,10.9,4.47,6.3,37.2,25.7,45.4
"Estes, Joey",683155,2024,127.2,543,92,16.9,5,5.01,9.7,39.6,19.2,55.5
"Gray, Sonny",543243,2024,166.1,671,203,30.3,5.8,3.84,9,37.9,29.8,48.7
"Wheeler, Zack",554430,2024,200,787,224,28.5,6.6,2.57,8.3,33.6,27.5,51.2
"Tonkin, Michael",543859,2023,80,325,75,23.1,7.1,4.28,8,40,24.8,50.3
"Martinez, Carlos",593372,2021,82.1,363,57,15.7,9.9,6.23,8.6,42.5,18.8,46.2
"Paddack, Chris",663978,2025,158,670,112,16.7,5.5,5.35,10.2,45.6,20.7,51.3
"Gordon, Tanner",685299,2025,75.1,337,62,18.4,5,6.33,11.5,41.2,18,53.2
"Dunning, Dane",641540,2022,153.1,671,137,20.4,9.2,4.46,8.9,38,24.5,44.4
"Berríos, José",621244,2024,192.1,786,153,19.5,6.9,3.6,7.8,41.8,21.1,46.7
"Rodón, Carlos",607074,2022,178,710,237,33.4,7.3,2.88,6.5,39.8,31.2,49.8
"Anderson, Ian",666120,2022,111.2,493,97,19.7,11,5,6.2,40.5,28.4,46.9
"Lynn, Lance",458681,2021,157,641,176,27.5,7,2.69,6,36,26.3,50.2
"Gray, Jon",592351,2019,150,637,150,23.5,8.8,3.84,6.3,43.8,26.5,47.6
"Freeland, Kyle",607536,2022,174.2,766,131,17.1,6.9,4.53,9.7,42.4,20.8,47.5
"Beede, Tyler",595881,2019,117,523,113,21.6,8.8,5.08,8.9,44.3,26.3,46.2
"Giolito, Lucas",608337,2023,184.1,794,204,25.7,9.2,4.88,11,41.6,28.8,46.8
"Arrighetti, Spencer",681293,2024,145,632,171,27.1,10.3,4.53,7.7,39.8,27.7,47.2
"Mayers, Mike",594577,2021,75,315,90,28.6,8.3,3.84,8.2,41.8,29.2,48
"Waguespack, Jacob",621097,2019,78,335,63,18.8,8.7,4.38,7.6,38.2,21.8,48.9
"Sanchez, Aaron",592717,2019,131.1,605,115,19,11.2,5.89,8.2,42.2,21.8,44.5
"Brito, Jhony",666745,2023,90.1,372,72,19.4,7.5,4.28,9.1,36.9,21.7,48.2
"Mahle, Tyler",641816,2019,129.2,556,129,23.2,6.1,5.14,8.4,37.6,23.3,46.2
"Steele, Justin",657006,2023,173.1,716,176,24.6,5,3.06,5.4,36.6,24,52.9
"Herz, DJ",687792,2024,88.2,382,106,27.7,9.4,4.16,8.1,34.7,29.3,48.9
"Valdez, Framber",664285,2024,176.1,703,169,24,7.8,2.91,5.3,45,27.2,45
"Burnes, Corbin",669203,2021,167,657,234,35.6,5.2,2.43,3.1,30.5,37.3,49.2
"Peralta, Wily",503449,2021,93.2,402,58,14.4,9.5,3.07,7.4,38.2,21.3,45.2
"Patrick, Chad",694477,2025,119.2,503,127,25.2,8,3.53,8.1,42.2,23.5,50.1
"Bieber, Shane",669456,2021,96.2,405,134,33.1,8.1,3.17,9,43.6,36.5,47.9
"Barria, Jaime",642545,2019,82.2,365,75,20.5,7.4,6.42,11.6,40.6,22.1,44.4
"Brieske, Beau",689225,2022,81.2,339,54,15.9,7.4,4.19,10.5,41.3,18,50.6
"Gray, Jon",592351,2021,149,644,157,24.4,9,4.59,6.9,38.2,26.9,45.3
"Velasquez, Vince",592826,2019,117.1,516,130,25.2,8.3,4.91,11.2,40.1,26,49.5
"Stripling, Ross",548389,2023,89,381,70,18.4,4.2,5.36,10.3,41.3,23.7,48.2
"Farmer, Buck",571656,2023,75,309,70,22.7,9.4,4.2,8.8,35,30.3,47
